,Name of movie,Director of movie,Duration of movie,Year of Release,Rating,Metascore,vote,gross,Genre,star,Certificate
0,The Dark Knight,Christopher Nolan,152,2008,Rate this  123456789109/10X ,84        ,"2,758,917",$534.86M," Action, Crime, Drama            ","['Christian Bale, ', 'Heath Ledger, ', 'Aaron Eckhart, ', 'Michael Caine', '']",UA
1,The Lord of the Rings: The Return of the King,Peter Jackson,201,2003,Rate this  123456789109/10X ,94        ,"1,906,233",$377.85M," Action, Adventure, Drama            ","['Elijah Wood, ', 'Viggo Mortensen, ', 'Ian McKellen, ', 'Orlando Bloom', '']",U
2,Spider-Man: Across the Spider-Verse,"Joaquim Dos Santos, ",140,2023,Rate this  123456789108.9/10X ,86        ,"206,468",_," Animation, Action, Adventure            ","['| ', '    Stars:', 'Shameik Moore, ', 'Hailee Steinfeld, ', 'Brian Tyree Henry, ']",U
3,Inception,Christopher Nolan,148,2010,Rate this  123456789108.8/10X ,74        ,"2,449,278",$292.58M," Action, Adventure, Sci-Fi            ","['Leonardo DiCaprio, ', 'Joseph Gordon-Levitt, ', 'Elliot Page, ', 'Ken Watanabe', '']",UA
4,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,178,2001,Rate this  123456789108.8/10X ,92        ,"1,934,425",$315.54M," Action, Adventure, Drama            ","['Elijah Wood, ', 'Ian McKellen, ', 'Orlando Bloom, ', 'Sean Bean', '']",U
5,The Lord of the Rings: The Two Towers,Peter Jackson,179,2002,Rate this  123456789108.8/10X ,87        ,"1,720,128",$342.55M," Action, Adventure, Drama            ","['Elijah Wood, ', 'Ian McKellen, ', 'Viggo Mortensen, ', 'Orlando Bloom', '']",UA
6,The Matrix,"Lana Wachowski, ",136,1999,Rate this  123456789108.7/10X ,73        ,"1,978,806",$171.48M," Action, Sci-Fi            ","['    Stars:', 'Keanu Reeves, ', 'Laurence Fishburne, ', 'Carrie-Anne Moss, ', 'Hugo Weaving']",A
7,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,124,1980,Rate this  123456789108.7/10X ,82        ,"1,334,656",$290.48M," Action, Adventure, Fantasy            ","['Mark Hamill, ', 'Harrison Ford, ', 'Carrie Fisher, ', 'Billy Dee Williams', '']",UA
8,Soorarai Pottru,Sudha Kongara,153,2020,Rate this  123456789108.7/10X ,^^^^,"120,272",_," Action, Drama            ","['Suriya, ', 'Paresh Rawal, ', 'Urvashi, ', 'Aparna Balamurali', '']",U
9,Terminator 2: Judgment Day,James Cameron,137,1991,Rate this  123456789108.6/10X ,75        ,"1,135,330",$204.84M," Action, Sci-Fi            ","['Arnold Schwarzenegger, ', 'Linda Hamilton, ', 'Edward Furlong, ', 'Robert Patrick', '']",A
10,Star Wars,George Lucas,121,1977,Rate this  123456789108.6/10X ,90        ,"1,406,687",$322.74M," Action, Adventure, Fantasy            ","['Mark Hamill, ', 'Harrison Ford, ', 'Carrie Fisher, ', 'Alec Guinness', '']",U
11,Shichinin no samurai,Akira Kurosawa,207,1954,Rate this  123456789108.6/10X ,98        ,"356,113",$0.27M," Action, Drama            ","['Toshirô Mifune, ', 'Takashi Shimura, ', 'Keiko Tsushima, ', 'Yukiko Shimazaki', '']",U
12,Seppuku,Masaki Kobayashi,133,1962,Rate this  123456789108.6/10X ,85        ,"62,768",_," Action, Drama, Mystery            ","['Tatsuya Nakadai, ', 'Akira Ishihama, ', 'Shima Iwashita, ', 'Tetsurô Tanba', '']",0
13,Sita Ramam,Hanu Raghavapudi,163,2022,Rate this  123456789108.6/10X ,^^^^,"61,883",_," Action, Drama, Mystery            ","['Dulquer Salmaan, ', 'Mrunal Thakur, ', 'Rashmika Mandanna, ', 'Sumanth', '']",U
14,Gladiator,Ridley Scott,155,2000,Rate this  123456789108.5/10X ,67        ,"1,552,425",$187.71M," Action, Adventure, Drama            ","['Russell Crowe, ', 'Joaquin Phoenix, ', 'Connie Nielsen, ', 'Oliver Reed', '']",UA
15,Léon,Luc Besson,110,1994,Rate this  123456789108.5/10X ,64        ,"1,202,153",$19.50M," Action, Crime, Drama            ","['Jean Reno, ', 'Gary Oldman, ', 'Natalie Portman, ', 'Danny Aiello', '']",A
16,The Dark Knight Rises,Christopher Nolan,164,2012,Rate this  123456789108.4/10X ,78        ,"1,764,288",$448.14M," Action, Drama, Thriller            ","['Christian Bale, ', 'Tom Hardy, ', 'Anne Hathaway, ', 'Gary Oldman', '']",UA
17,Avengers: Endgame,"Anthony Russo, ",181,2019,Rate this  123456789108.4/10X ,78        ,"1,203,203",$858.37M," Action, Adventure, Drama            ","['    Stars:', 'Robert Downey Jr., ', 'Chris Evans, ', 'Mark Ruffalo, ', 'Chris Hemsworth']",UA
18,Spider-Man: Into the Spider-Verse,"Bob Persichetti, ",117,2018,Rate this  123456789108.4/10X ,87        ,"617,723",$190.24M," Animation, Action, Adventure            ","['| ', '    Stars:', 'Shameik Moore, ', 'Jake Johnson, ', 'Hailee Steinfeld, ']",U
19,Raiders of the Lost Ark,Steven Spielberg,115,1981,Rate this  123456789108.4/10X ,85        ,"1,007,793",$248.16M," Action, Adventure            ","['Harrison Ford, ', 'Karen Allen, ', 'Paul Freeman, ', 'John Rhys-Davies', '']",A
20,Aliens,James Cameron,137,1986,Rate this  123456789108.4/10X ,84        ,"739,374",$85.16M," Action, Adventure, Sci-Fi            ","['Sigourney Weaver, ', 'Michael Biehn, ', 'Carrie Henn, ', 'Paul Reiser', '']",U
21,Oldeuboi,Park Chan-wook,101,2003,Rate this  123456789108.4/10X ,77        ,"604,443",$0.71M," Action, Drama, Mystery            ","['Choi Min-sik, ', 'Yoo Ji-tae, ', 'Kang Hye-jeong, ', 'Kim Byeong-Ok', '']",A
22,Avengers: Infinity War,"Anthony Russo, ",149,2018,Rate this  123456789108.4/10X ,68        ,"1,144,915",$678.82M," Action, Adventure, Sci-Fi            ","['    Stars:', 'Robert Downey Jr., ', 'Chris Hemsworth, ', 'Mark Ruffalo, ', 'Chris Evans']",UA
23,Kaithi,Lokesh Kanagaraj,145,2019,Rate this  123456789108.4/10X ,^^^^,"37,004",_," Action, Adventure, Crime            ","['Karthi, ', 'Narain, ', 'Arjun Das, ', 'George Maryan', '']",UA
24,Asuran,Vetrimaaran,141,2019,Rate this  123456789108.4/10X ,^^^^,"31,663",_," Action, Drama            ","['Dhanush, ', 'Manju Warrier, ', 'Prakash Raj, ', 'Pasupathy', '']",UA
25,Top Gun: Maverick,Joseph Kosinski,130,2022,Rate this  123456789108.3/10X ,78        ,"619,462",$718.73M," Action, Drama            ","['Tom Cruise, ', 'Jennifer Connelly, ', 'Miles Teller, ', 'Val Kilmer', '']",UA
26,Heat,Michael Mann,170,1995,Rate this  123456789108.3/10X ,76        ,"686,781",$67.44M," Action, Crime, Drama            ","['Al Pacino, ', 'Robert De Niro, ', 'Val Kilmer, ', 'Jon Voight', '']",A
27,North by Northwest,Alfred Hitchcock,136,1959,Rate this  123456789108.3/10X ,98        ,"337,300",$13.28M," Action, Adventure, Mystery            ","['Cary Grant, ', 'Eva Marie Saint, ', 'James Mason, ', 'Jessie Royce Landis', '']",U
28,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,131,1983,Rate this  123456789108.3/10X ,58        ,"1,087,899",$309.13M," Action, Adventure, Fantasy            ","['Mark Hamill, ', 'Harrison Ford, ', 'Carrie Fisher, ', 'Billy Dee Williams', '']",U
29,Mononoke-hime,Hayao Miyazaki,134,1997,Rate this  123456789108.3/10X ,76        ,"412,469",$2.38M," Animation, Action, Adventure            ","['Yôji Matsuda, ', 'Yuriko Ishida, ', 'Yûko Tanaka, ', 'Billy Crudup', '']",U
30,Dangal,Nitesh Tiwari,161,2016,Rate this  123456789108.3/10X ,^^^^,"200,047",$12.39M," Action, Biography, Drama            ","['Aamir Khan, ', 'Sakshi Tanwar, ', 'Fatima Sana Shaikh, ', 'Sanya Malhotra', '']",U
31,Kantara,Rishab Shetty,148,2022,Rate this  123456789108.3/10X ,^^^^,"97,285",_," Action, Adventure, Drama            ","['Rishab Shetty, ', 'Kishore Kumar G., ', 'Achyuth Kumar, ', 'Sapthami Gowda', '']",UA
32,Vikram,Lokesh Kanagaraj,175,2022,Rate this  123456789108.3/10X ,^^^^,"65,180",_," Action, Crime, Thriller            ","['Kamal Haasan, ', 'Vijay Sethupathi, ', 'Fahadh Faasil, ', 'Narain', '']",UA
33,K.G.F: Chapter 2,Prashanth Neel,168,2022,Rate this  123456789108.3/10X ,^^^^,"141,531",$6.60M," Action, Crime, Drama            ","['Yash, ', 'Sanjay Dutt, ', 'Raveena Tandon, ', 'Srinidhi Shetty', '']",UA
34,Shershaah,Vishnuvardhan,135,2021,Rate this  123456789108.3/10X ,^^^^,"125,850",_," Action, Biography, Drama            ","['Sidharth Malhotra, ', 'Kiara Advani, ', 'Shiv Panditt, ', 'Pranay Pachauri', '']",UA
35,Ratsasan,Ram Kumar,170,2018,Rate this  123456789108.3/10X ,^^^^,"47,664",_," Action, Crime, Drama            ","['Vishnu Vishal, ', 'Amala Paul, ', 'Radha Ravi, ', 'Sangili Murugan', '']",UA
36,Batman Begins,Christopher Nolan,140,2005,Rate this  123456789108.2/10X ,70        ,"1,523,851",$206.85M," Action, Crime, Drama            ","['Christian Bale, ', 'Michael Caine, ', 'Ken Watanabe, ', 'Liam Neeson', '']",UA
37,Spider-Man: No Way Home,Jon Watts,148,2021,Rate this  123456789108.2/10X ,71        ,"821,069",$804.75M," Action, Adventure, Fantasy            ","['Tom Holland, ', 'Zendaya, ', 'Benedict Cumberbatch, ', 'Jacob Batalon', '']",UA
38,Jurassic Park,Steven Spielberg,127,1993,Rate this  123456789108.2/10X ,68        ,"1,027,365",$402.45M," Action, Adventure, Sci-Fi            ","['Sam Neill, ', 'Laura Dern, ', 'Jeff Goldblum, ', 'Richard Attenborough', '']",UA
39,1917,Sam Mendes,119,2019,Rate this  123456789108.2/10X ,78        ,"634,919",$159.23M," Action, Drama, War            ","['Dean-Charles Chapman, ', 'George MacKay, ', 'Daniel Mays, ', 'Colin Firth', '']",R
40,Indiana Jones and the Last Crusade,Steven Spielberg,127,1989,Rate this  123456789108.2/10X ,65        ,"787,448",$197.17M," Action, Adventure            ","['Harrison Ford, ', 'Sean Connery, ', 'Alison Doody, ', 'Denholm Elliott', '']",U
41,Kill Bill: Vol. 1,Quentin Tarantino,111,2003,Rate this  123456789108.2/10X ,69        ,"1,152,007",$70.10M," Action, Crime, Thriller            ","['Uma Thurman, ', 'David Carradine, ', 'Daryl Hannah, ', 'Michael Madsen', '']",A
42,V for Vendetta,James McTeigue,132,2005,Rate this  123456789108.2/10X ,62        ,"1,149,225",$70.51M," Action, Drama, Sci-Fi            ","['Hugo Weaving, ', 'Natalie Portman, ', 'Rupert Graves, ', 'Stephen Rea', '']",UA
43,Die Hard,John McTiernan,132,1988,Rate this  123456789108.2/10X ,72        ,"908,728",$83.01M," Action, Thriller            ","['Bruce Willis, ', 'Alan Rickman, ', 'Bonnie Bedelia, ', 'Reginald VelJohnson', '']",A
44,Ran,Akira Kurosawa,162,1985,Rate this  123456789108.2/10X ,97        ,"130,917",$4.14M," Action, Drama, War            ","['Tatsuya Nakadai, ', 'Akira Terao, ', 'Jinpachi Nezu, ', 'Daisuke Ryû', '']",Not Rated
45,Kimetsu no Yaiba: Mugen Ressha-Hen,Haruo Sotozaki,117,2020,Rate this  123456789108.2/10X ,72        ,"66,771",$47.70M," Animation, Action, Adventure            ","['Natsuki Hanae, ', 'Akari Kitô, ', 'Yoshitsugu Matsuoka, ', 'Hiro Shimono', '']",UA
46,Gangs of Wasseypur,Anurag Kashyap,321,2012,Rate this  123456789108.2/10X ,89        ,"100,142",_," Action, Comedy, Crime            ","['Manoj Bajpayee, ', 'Nawazuddin Siddiqui, ', 'Tigmanshu Dhulia, ', 'Richa Chadha', '']",A
47,Yôjinbô,Akira Kurosawa,110,1961,Rate this  123456789108.2/10X ,93        ,"127,188",_," Action, Drama, Thriller            ","['Toshirô Mifune, ', 'Eijirô Tôno, ', 'Tatsuya Nakadai, ', 'Yôko Tsukasa', '']",U
48,K.G.F: Chapter 1,Prashanth Neel,156,2018,Rate this  123456789108.2/10X ,^^^^,"92,933",_," Action, Crime, Drama            ","['Yash, ', 'Srinidhi Shetty, ', 'Ramachandra Raju, ', 'Archana Jois', '']",UA
49,Baahubali 2: The Conclusion,S.S. Rajamouli,167,2017,Rate this  123456789108.2/10X ,^^^^,"108,472",$20.19M," Action, Drama            ","['Prabhas, ', 'Rana Daggubati, ', 'Anushka Shetty, ', 'Tamannaah Bhatia', '']",UA
